W1,W2,W3,F
ayes,noes,congratulations,8
passing,triple,talaq,8
people,want,good,8
led,prime,minister,8
supreme,court,rafale,7
center,inclusive,progress,7
elections,head,hindu,7
white,lies,imagine,7
think,year,tell,7
pm,morons,vote,7
shri,ji,passes,7
imagine,pappu,pm,7
topic,elections,head,7
matters,talk,election,7
manifesto,committee,arun,7
worthy,pappu,piddis,7
voters,gave,triple,7
upcoming,movie,life,7
hon,pm,shri,7
think,think,year,7
narendra,modi,ji,7
ahead,general,elections,7
ji,step,taken,7
upset,voters,gave,7
getting,stinging,slap,7
canards,worthy,pappu,7
want,political,matters,7
case,congie,spreading,7
congie,spreading,canards,7
committee,arun,jaitley,7
dmk,rjd,parties,7
cash,handout,farmers,7
religious,topic,elections,7
stinging,slap,supreme,7
economically,weak,upper,7
seats,seats,seats,7
strong,gvt,center,7
avoid,religious,topic,7
head,manifesto,committee,7
ppl,strong,gvt,7
committee,prepare,manifesto,7
hindu,want,political,7
piddis,shameless,telling,7
gave,triple,talaaq,7
jds,ncp,dmk,7
ncp,dmk,rjd,7
look,upcoming,movie,7
telling,white,lies,7
har,har,modi,7
tell,party,avoid,7
antihindu,corrupt,looters,7
political,matters,talk,7
weak,upper,castes,7
slap,supreme,court,7
prepare,manifesto,upcoming,7
spreading,canards,worthy,7
movie,life,our,7
rafale,case,congie,7
president,manifesto,committee,7
lies,imagine,pappu,7
pappu,pm,morons,7
congratulations,hon,pm,7
admit,facts,win,7
head,hindu,want,7
party,avoid,religious,7
gvt,center,inclusive,7
year,tell,party,7
jai,hind,jai,7
pappu,piddis,shameless,7
rjd,parties,antihindu,7
lok,elections,narendra,7
shameless,telling,white,7
court,rafale,case,7
life,our,pm,7
poll,results,money,7
strong,gvt,inclusive,6
wish,happy,year,6
pm,sh,ji,6
approves,economically,weak,6
inc,inc,inc,6
economically,upper,castes,6
gender,parity,dignity,6
lok,passes,triple,6
gender,equality,gender,6
talk,election,promotion,6
passes,triple,talaq,6
step,modi,government,6
pm,ji,taking,6
our,pm,modi,6
wil,proposed,quota,6
ppl,pls,strong,6
gvt,inclusive,progress,6
appointed,tamil,nadu,6
defeat,corrupt,ahind,6
arrangement,elections,president,6
vote,modi,ji,6
congratulate,pm,ji,6
pls,strong,gvt,6
lok,passes,constitution,6
endeavour,towards,ensuring,6
rs,wil,proposed,6
govt,successfully,passing,6
equality,gender,parity,6
chhattisgarh,madhya,pradesh,6
nadu,puducherry,election,6
secular,parties,antihindu,6
ji,ahead,wil,6
towards,ensuring,equality,6
shri,ji,ensuring,6
singh,head,manifesto,6
seatsharing,arrangement,elections,6
want,win,election,6
card,asks,vote,6
elections,gift,invite,6
asks,vote,pm,6
modi,via,namo,6
ncp,secular,parties,6
tamil,nadu,puducherry,6
wedding,card,asks,6
gift,invite,viral,6
message,time,voters,6
jds,ncp,secular,6
historic,endeavour,towards,6
ensuring,gender,equality,6
appoints,committee,prepare,6
nota,defeat,corrupt,6
taking,historic,endeavour,6
pm,modi,via,6
issues,whip,present,5
proposed,quota,unexpected,5
congratulations,pm,sh,5
worked/,works,hours,5
ahead,approves,economically,5
allies,seals,seatsharing,5
sections,educational,institutions,5
mafia,mata,gang,5
keep,good,work,5
minister,piyush,goyal,5
discuss,amended,tomorrow,5
congratulations,modi,ji,5
polls,must,rethink,5
adityanaths,hindutva,politics,5
million,people,following,5
alliance,calling,illusion,5
must,rethink,yogi,5
should,immediately,sack,5
congratulations,thnx,lot,5
age,matured,stand,5
among,upper,castes,5
yojana,via,namo,5
would,ask,opposing,5
governance,hear,pm,5
indian,army,smashing,5
vs,italian,mafia,5
mp,cg,rj,5
light,opposition,grand,5
works,hours,day,5
instant,triple,talaq,5
move,modi,ji,5
confident,lok,elections,5
risk,propagating,fake,5
election,think,think,5
wishing,happy,year,5
solid,trend,cong,5
immediately,sack,arrogant,5
italian,mafia,mata,5
sorry,workers,supporters,5
amended,tomorrow,issues,5
ho,jai,hind,5
win,election,think,5
ji,ensuring,gender,5
preparation,upcoming,elections,5
modi,ji,ahead,5
yogi,adityanaths,hindutva,5
coverage,live,ndtv,5
india,votes,polls,5
puducherry,election,inchrage,5
paying,stoking,stupidity,5
gender,equality,tradition,5
workers,supporters,risk,5
seals,seatsharing,arrangement,5
us,pm,modi’,5
sh,ji,step,5
pledge,our,support,5
stand,selfless,leader,5
leader,worked/,works,5
people,following,worldwide,5
whip,present,house,5
quota,unexpected,move,5
modi,government,reservation,5
time,stand,selfless,5
sack,arrogant,mla,5
narendra,modi,elections,5
following,worldwide,twitter,5
ahead,wil,gamechanging,5
constitution,amendment,quota,5
amit,shah,announces,5
stupidity,overpower,people,5
overpower,people,want,5
supporters,risk,propagating,5
ji,pm,ji,5
jai,ho,jai,5
cong,early,leads,5
interview,vs,italian,5
ask,opposing,suraa,5
pm,modi’,dial,5
ahead,lok,elections,5
years,modi,government,5
selfless,leader,worked/,5
matured,stand,maturity,5
ahead,polls,must,5
opposition,grand,alliance,5
modi’,dial,india,5
modi,ji,million,5
stand,maturity,right,5
pm,modi,indian,5
congratulations,prime,minister,5
heartiest,congratulations,modi,5
dynamic,leadership,pm,5
model,governance,hear,5
ji,million,people,5
provide,reservation,economically,5
teen,age,matured,5
tomorrow,issues,whip,5
electoral,experience,organisational,5
feel,sorry,workers,5
amendment,quota,economically,5
watch,interview,vs,5
army,smashing,records,5
noes,congratulations,pm,5
rethink,yogi,adityanaths,5
stoking,stupidity,overpower,5
modi,indian,army,5
today,via,namo,5
unexpected,move,modi,5
matter,gender,equality,5
dial,india,votes,5
arun,jaitley,head,5
ahead,lok,polls,5
letting,facts,speak,5
grand,alliance,calling,5
modi,elections,gift,4
farm,loan,waiver,4
elections,narendra,modis,4
narendra,modi,government,4
spot,asks,modi,4
government,reservation,economically,4
notice,privilege,moved,4
something,miles,ahead,4
options,including,cash,4
lekhi,would,ask,4
passed,votes,favour,4
modi,government,india,4
vote,sure,everyone,4
har,ke,jeetne,4
union,rs,wil,4
national,conference,chief,4
everyone,know,votes,4
sena,form,alliance|,4
food,stall,help,4
privilege,moved,mp,4
india,modi,ji,4
understanding,elections,opinion,4
cant,vote,sure,4
solely,people,country,4
asks,modi,govt,4
hand,together,support,4
govt,tight,spot,4
chief,farooq,leader,4
happy,fight,alone,4
wedding,couples,ask,4
leadership,pm,ji,4
tremendous,work,done,4
railways,thank,ji,4
already,lakh,people,4
ji,passes,provision,4
yesterday,citizenship,amendment,4
