W1,W2,W3,W4,F
vs,rahul,rahul,vs,3
madhya,pradesh,seats,congress,3
counting,centre,madhya,pradesh,3
centre,madhya,pradesh,seats,3
solve,kashmir,need,pm,3
history,honored,hate,violence,3
accidental,prime,minister,anticongress,3
rahul,vs,modi/shah/,media/fake,3
rahul,rahul,vs,modi/shah/,3
years,india,couldnt,last,3
support,congress,madhya,pradesh,3
sena,pounces,jpc,rafale,3
tough,fight,heat,map,3
modi,govt,passed,mean,3
state,fastest,updates,follow,2
chief,minister,resignation,congress,2
clarify,political,stand,totally,2
catch,action,follow,our,2
loot,money,power,ppl,2
remove,prime,minister,narendra,2
quiet,win,army=nasty,spaniking,2
mentality,cost,congress,dearly,2
pardon,handwriting,congress,winning,2
mla,yashpal,singh,sisodiya,2
vasundhara,raje,retains,crucial,2
edge,past,mp,telangana,2
shameful,time,today,face,2
ki,haar,nayi,time,2
pradesh,heres,exit,polls,2
much,congress,coverup,party,2
south,defeats,congress,hemant,2
minister,vasundhara,raje’s,trails,2
congress,wrests,states,hindi,2
pradesh,congress,taken,huge,2
mukt,mukt,lighter,vein,2
called,majority,party,lost,2
madhya,pradesh,congress,taken,2
seats,madhya,pradesh,sp,2
taken,gaurd,confuse,twist,2
whips,party,parliamentarians,present,2
rafale,raga,taken,gaurd,2
win,army=nasty,spaniking,hangover,2
governance,vote,congress,means,2
time,row,contesting,home,2
rajasthan,early,leads,catch,2
wise,people,dont,let,2
congress,candidate,rekhchand,jain,2
congress,dearly,elections,going,2
parties,centrestage,polls,near,2
totally,anti,congress,anti,2
joined,congress,denied,ticket,2
watch,our,special,election,2
congress,trolling,guess,power,2
votes,difference,nota,ur,2
madhya,pradesh,keep,mayawati,2
loosing,states,didnt,lost,2
money,power,threw,everything,2
seat,congress,part,sp,2
wins,ajmer,south,defeats,2
everything,congress,done,given,2
challenge,stop,else,along,2
fools,suffer,ask,congress,2
pm,modis,policies,centre,2
party,would,continue,remain,2
issues,need,addressed,feels,2
would,mamata,state,chief,2
reflects,growing,disillusionment,towards,2
politically,charged,year,check,2
leading,states,rajasthan,chhattisgarh,2
ethics,political,party,ashamed,2
gaurd,confuse,twist,turn,2
congress,leader,ashok,gehlot,2
congress,takes,states,read,2
congress,heading,towards,clear,2
done,mistake,modi,congress,2
suffer,ask,congress,supporter,2
threeline,whips,party,parliamentarians,2
iquote,versus,faceoff,ahead,2
court,support,pass,cares,2
anita,wins,ajmer,south,2
our,special,election,coverage,2
amid,dogfight,mps,continued,2
peoples,mandate,pm,congress,2
wins,congress+,gets,gets,2
govt,led,stalled,renewing,2
chhattisgarh,madhya,pradesh,congress,2
congress,led,campaign,name,2
lost,everything,everywhere,ki,2
much,dont,suffer,fools,2
feminist,mentality,cost,congress,2
everyone,support,congress,keep,2
come,should,lose,vindictive,2
congress,loses,threetime,madhya,2
marks,doesnt,ensure,theyll,2
modi,farm,distress,issues,2
pradesh,congress,overtaken,follow,2
congress+,gets,gets,follow,2
coined,slogan,mukt,mukt,2
opposition,consideration,haven’t,taken,2
jain,candidate,santosh,votes,2
rajasthan,chief,minister,resignation,2
political,stand,totally,anti,2
current,leads,results,show,2
na,khane,dunga,dear,2
party,rakesh,jhunjhunwala,rooting,2
heartland,pm,modis,policies,2
congress,dumped,sp,cornered,2
partys,official,handle,starts,2
elections,quiet,win,army=nasty,2
seesaw,congress,track,live,2
votes,votes,difference,nota,2
starts,marketing,promoting,film,2
state,polls,rahul,gandhi,2
deserted,office,raipur,leads,2
votes,counted,semifinal,next,2
sitting,mla,yashpal,singh,2
support,pass,cares,muslims,2
issued,threeline,whips,party,2
haar,nayi,time,aiming,2
jeeti,ji,ke,time,2
gathers,congress,hq,delhi,2
led,campaign,name,kisan”,2
power,crucial,states,rajasthan,2
congress,trumps,heartland,states,2
guess,power,hike,crying,2
time,row,defeats,congress’,2
declared,trs,wins,congress+,2
haven’t,taken,opposition,consideration,2
images,deserted,office,raipur,2
power,ppl,ppl,good,2
narendra,modi,lok,elections,2
hindi,heartland,pm,modis,2
surprise,congress,win,end,2
madhyapradesh,moment,congress,advantage,2
top,congress,reserved,category,2
mistake,modi,congress,sonia,2
party,emergence,previously,party,2
monday,issued,threeline,whips,2
predicting,congress,win,states,2
sp,keep,tieup,though,2
congress,strong,presence,fifteen,2
time,aiming,victory,central,2
dear,wise,people,dont,2
set,command,pack,coming,2
mp,years,rule,people,2
telangana,declared,trs,wins,2
disappoint,loosing,states,didnt,2
rajasthan,chhattisgarh,congress,rahul,2
office,congress,wind,use,2
passes,court,support,pass,2
candidate,sitting,mla,yashpal,2
pm,congress,takes,states,2
versus,faceoff,ahead,marketing,2
sticking,neck,predicting,congress,2
crucial,states,rajasthan,chhattisgarh,2
early,leads,catch,action,2
gandhi,congress,come,strongly,2
calls,far,congress,madhya,2
sisodiya,challenged,congress’,narendra,2
known,fact,everyone,support,2
didnt,lost,plus,states,2
past,mp,telangana,mizoram,2
overs,playing,waiting,game,2
congress,chhattisgarh,madhya,pradesh,2
strains,godse,wud,cleaned,2
follow,rituals,times,wear,2
congress,lost,ethics,political,2
congress,win,states,hindi,2
india,couldnt,last,year…,2
congress,winning,seats,madhya,2
fourth,time,row,defeats,2
rakesh,jhunjhunwala,rooting,congress,2
yet,stormy,session,monday,2
density,rafel,give,comission,2
unseat,government,madhya,pradesh,2
congress,farm,late,money,2
madhya,pradesh,declared,congress,2
victorious,polls,pradeep,gupta,2
lost,ethics,political,party,2
platforms,screens,hq,swanky,2
outscores,state,polls,rahul,2
madhya,pradesh,congress,overtaken,2
nishikant,moved,privilege,motion,2
consideration,haven’t,taken,partners,2
theyll,top,congress,reserved,2
towards,party,emergence,previously,2
love,country,much,dont,2
pradesh,threetime,chief,minister,2
congress,means,dynasty,scam,2
truth,reality,vikas,history,2
close,seats,madhyapradesh,moment,2
day,congress,workers,across,2
strongly,slog,overs,playing,2
larger,consensus,within,sp,2
madhya,pradesh,threetime,chief,2
action,follow,our,special,2
lok,seat,congress,part,2
ji,ke,time,main,2
twotime,chief,minister,vasundhara,2
m.p,slowed,congress,train,2
defeats,congress,hemant,track,2
emerge,victorious,polls,pradeep,2
pitch,govt,led,stalled,2
candidate,former,union,minister,2
hindi,heartland,congress,rout,2
congress,supporter,support,support,2
congress,done,given,clear,2
our,special,coverage,live,2
updates,watch,our,special,2
heat,map,state,fastest,2
dont,let,support,fade,2
mizoram,spring,surprise,congress,2
opposition,loot,money,power,2
official,handle,starts,marketing,2
losted,opprtnty,strains,godse,2
pradesh,keep,mayawati,read,2
suffer,fools,suffer,ask,2
rout,rajasthan&amp;chattisgarh,edge,past,2
face,fourth,time,row,2
rahul,gandhi,discuss,plans,2
yesterday,shameful,time,today,2
congress,wouldnt,hung,government,2
spring,surprise,congress,win,2
minister,sartaj,singh,joined,2
seal,deal,seats,sharing,2
moment,congress,advantage,seats,2
army=nasty,spaniking,hangover,post,2
towards,clear,majority,mandate,2
counted,semifinal,next,years,2
row,contesting,home,turf,2
trumps,heartland,states,misses,2
years,rule,people,towards,2
dumped,sp,cornered,fight,2
states,hindi,heartland,pm,2
patnaik,party,would,continue,2
thakur,nishikant,moved,privilege,2
think,failed,understand,truth,2
modi,lok,elections,chief,2
our,lets,work,hard,2
campaign,name,kisan”,whereas,2
day,office,congress,wind,2
pack,coming,ls,election,2
led,stalled,renewing,demand,2
sanjay,jaiswal,anurag,thakur,2
come,strongly,slog,overs,2
vikas,history,honored,hate,2
drama,lok,rahul,threatens,2
choice,surging,economy,thanks,2
state,elections,impact,find,2
people,towards,congress,wouldnt,2
congress,come,strongly,slog,2
leading,states,votes,counted,2
modi,congress,sonia,pvnr,2
people,dont,let,support,2
everything,everywhere,ki,haar,2
trinamool,set,command,pack,2
wins,short,majority,gets,2
results,seats,madhya,pradesh,2
reality,vikas,history,honored,2
term,congress,eyeing,years,2
party,parliamentarians,present,today,2
woke,early,predictions,rajasthan,2
performance,good,governance,vote,2
fact,everyone,support,congress,2
pradesh,seesaw,congress,track,2
congress,train,power,region,2
lok,rahul,threatens,play,2
leader,ashok,gehlot,track,2
majority,party,lost,everything,2
dynasty,scam,suppression,hindus,2
declared,congress,wins,short,2
intvw,elections,quiet,win,2
anurag,thakur,nishikant,moved,2
desperately,rafale,raga,taken,2
chief,ministerial,face,fourth,2
mandate,pm,congress,takes,2
chief,minister,vasundhara,raje’s,2
would,continue,remain,equidistant,2
late,money,sector,increasing,2
yashpal,singh,sisodiya,challenged,2
gets,pm,would,mamata,2
understand,truth,reality,vikas,2
doesnt,ensure,theyll,top,2
fourth,straight,term,congress,2
modi,truthful,commitment,na,2
should,lose,vindictive,vicious,2
overview,states,current,leads,2
loses,threetime,madhya,pradesh,2
faceoff,retains,fourth,time,2
threw,everything,congress,done,2
payers,money,opposition,loot,2
honored,hate,violence,losted,2
states,reflects,growing,disillusionment,2
madhya,pradesh,congress,rajasthan,2
post,night,wonder,work,2
want,performance,good,governance,2
let,clarify,political,stand,2
strong,presence,fifteen,lok,2
heres,exit,polls,predicted,2
year,check,dramatic,events,2
ss,challenging,late,night,2
hangover,post,night,wonder,2
retains,crucial,seat,time,2
chaos,amid,dogfight,mps,2
know,candidate,former,union,2
tax,payers,money,opposition,2
prime,minister,narendra,modi,2
singh,sisodiya,challenged,congress’,2
na,khaunga,na,khane,2
vote,congress,means,dynasty,2
congress,workers,across,country,2
claims,media,conceded,much,2
seats,madhyapradesh,moment,congress,2
wrests,states,hindi,heartland,2
madhya,pradesh,party,seats,2
delhi,fancy,platforms,screens,2
live,updates,watch,our,2
opportunistic,feminist,mentality,cost,2
political,party,momentum,going,2
emergence,previously,party,alternative,2
andhra,cm,meets,rahul,2
keep,tieup,though,sources,2
leads,results,show,congress,2
singh,joined,congress,denied,2
khane,dunga,dear,wise,2
congress,mp,joined,wednesday,2
dog,threatening,physical,assault,2
pm,win,elections”,congress,2
things,come,should,lose,2
congress,keep,keep,modi,2
support,congress,keep,keep,2
mp,telangana,mizoram,spring,2
early,predictions,rajasthan,seats,2
distress,issues,need,addressed,2
set,yet,stormy,session,2
continued,today,people’s,anger,2
hemant,track,live,updates,2
rahul,gandhi,laid,marker,2
consensus,within,sp,keep,2
